m/z,area,Messung,sccm,Temperatur,Datei
-0.296,-0.19516666666664517,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2977,-0.07176666666667905,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2988,-0.09166666666665657,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3,-0.03853333333332909,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3007,-0.008633333333337176,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3013,0.0,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3016,-0.0405666666666622,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3016,0.0,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3013,0.0,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.3008,0.0,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2995,1.550066666666496,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2984,49.11053333332792,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2971,3.6217333333329345,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2955,82.10959999999096,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2925,95.78556666669397,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2909,71.3841666666588,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2886,166.63313333331587,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2861,61.79133333332781,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2833,95.6449333333228,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2799,64.58360000001082,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2764,94.14116666668242,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2724,159.60916666669334,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2681,506.41553333327755,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2641,157.59539999998265,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2597,70.73606666666574,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2551,592.3739999999484,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.25,84.95443333332305,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2442,128.91693333331216,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2386,594.0271666666839,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2328,550.8264666666894,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2265,167.16433333334908,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2205,497.81903333330143,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.2137,584.7583666666197,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.207,547.2047333333178,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1997,592.5415000000022,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1921,587.3152000000179,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1845,573.1243833332917,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1764,573.4126166666247,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1682,563.8734333333377,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1598,610.1562916666153,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.151,831.1168166666691,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1421,611.4654499999986,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1329,795.1134166666536,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1232,867.2757416666456,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1131,859.7485499999725,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.1029,630.7732999999794,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0927,775.4835000000331,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0823,847.5234000000162,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0716,828.5598416667001,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0605,814.6725000000018,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0487,827.6871000000015,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.037,761.4581999999884,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0244,903.7111999999951,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.012,796.7721833333336,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
-0.0004,898.8886999999999,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.013,79.57694166666667,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.0248,951.3600583333309,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.039,848.5367166666633,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.0529,25.192116666666713,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.0669,23.096266666666722,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.08,2.157916666666668,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.0937,6.70553333333331,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.1085,3.993266666666683,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
